"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"4289","MICONAZOLE NITRATE","Miconazole Nitrate","56104025601","Azole Antifungal [EPC], Azoles [CS]","56104-256","56104-256-01","56104-256_1057953e-d1a4-1412-e063-6394a90a33fb","HUMAN OTC DRUG","Antifungal Miconazole","","AEROSOL, SPRAY","TOPICAL","20210929","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","2.6","g/130g","","N","20251231"
"4290","MICONAZOLE NITRATE","Miconazole Nitrate","56104035001","Azole Antifungal [EPC], Azoles [CS]","56104-350","56104-350-01","56104-350_137e0adf-cd43-6c74-e063-6294a90a4fb5","HUMAN OTC DRUG","Foot Powder","","POWDER","TOPICAL","20231003","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","20","mg/g","","N","20251231"
"4291","MICONAZOLE NITRATE","Miconazole Nitrate","56104050000","Azole Antifungal [EPC], Azoles [CS]","56104-500","56104-500-00","56104-500_0fde8a93-dca0-f794-e063-6394a90ab439","HUMAN OTC DRUG","Anti-fungal Powder Miconazole Nitrate","","POWDER","TOPICAL","20230912","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","20","mg/g","","N","20251231"
"4292","FLUCONAZOLE","Fluconazole","57237000330","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-003","57237-003-30","57237-003_790006ca-00d2-40c0-8021-19795a5bfe66","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Rising Pharma Holdings, Inc.","50","mg/1","","N","20251231"
"4293","FLUCONAZOLE","Fluconazole","57237000430","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-004","57237-004-30","57237-004_790006ca-00d2-40c0-8021-19795a5bfe66","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Rising Pharma Holdings, Inc.","100","mg/1","","N","20251231"
"4294","FLUCONAZOLE","Fluconazole","57237000511","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-005","57237-005-11","57237-005_790006ca-00d2-40c0-8021-19795a5bfe66","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Rising Pharma Holdings, Inc.","150","mg/1","","N","20251231"
"4295","FLUCONAZOLE","Fluconazole","57237000601","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-006","57237-006-01","57237-006_790006ca-00d2-40c0-8021-19795a5bfe66","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Rising Pharma Holdings, Inc.","200","mg/1","","N","20251231"
"4296","FLUCONAZOLE","Fluconazole","57237000630","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-006","57237-006-30","57237-006_790006ca-00d2-40c0-8021-19795a5bfe66","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Rising Pharma Holdings, Inc.","200","mg/1","","N","20251231"
"4297","AMOXICILLIN","Amoxicillin","57237002801","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-028","57237-028-01","57237-028_ff8d4d89-760f-4bff-a0d1-62eff8a0df8e","HUMAN PRESCRIPTION DRUG","Amoxicillin","","TABLET, FILM COATED","ORAL","20051109","","ANDA","ANDA065256","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4298","AMOXICILLIN","Amoxicillin","57237002820","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-028","57237-028-20","57237-028_ff8d4d89-760f-4bff-a0d1-62eff8a0df8e","HUMAN PRESCRIPTION DRUG","Amoxicillin","","TABLET, FILM COATED","ORAL","20051109","","ANDA","ANDA065256","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4299","AMOXICILLIN","Amoxicillin","57237002901","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-029","57237-029-01","57237-029_ff8d4d89-760f-4bff-a0d1-62eff8a0df8e","HUMAN PRESCRIPTION DRUG","Amoxicillin","","TABLET, FILM COATED","ORAL","20051109","","ANDA","ANDA065256","Rising Pharma Holdings, Inc.","875","mg/1","","N","20251231"
"4300","AMOXICILLIN","Amoxicillin","57237002920","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-029","57237-029-20","57237-029_ff8d4d89-760f-4bff-a0d1-62eff8a0df8e","HUMAN PRESCRIPTION DRUG","Amoxicillin","","TABLET, FILM COATED","ORAL","20051109","","ANDA","ANDA065256","Rising Pharma Holdings, Inc.","875","mg/1","","N","20251231"
"4301","AMOXICILLIN","Amoxicillin","57237003001","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-030","57237-030-01","57237-030_4e6f21c7-0e2a-4361-9549-ab42efd08d5b","HUMAN PRESCRIPTION DRUG","Amoxicillin","","CAPSULE","ORAL","20051109","","ANDA","ANDA065271","Rising Pharma Holdings, Inc.","250","mg/1","","N","20251231"
"4302","AMOXICILLIN","Amoxicillin","57237003005","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-030","57237-030-05","57237-030_4e6f21c7-0e2a-4361-9549-ab42efd08d5b","HUMAN PRESCRIPTION DRUG","Amoxicillin","","CAPSULE","ORAL","20051109","","ANDA","ANDA065271","Rising Pharma Holdings, Inc.","250","mg/1","","N","20251231"
"4303","AMOXICILLIN","Amoxicillin","57237003101","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-031","57237-031-01","57237-031_4e6f21c7-0e2a-4361-9549-ab42efd08d5b","HUMAN PRESCRIPTION DRUG","Amoxicillin","","CAPSULE","ORAL","20051109","","ANDA","ANDA065271","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4304","AMOXICILLIN","Amoxicillin","57237003105","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-031","57237-031-05","57237-031_4e6f21c7-0e2a-4361-9549-ab42efd08d5b","HUMAN PRESCRIPTION DRUG","Amoxicillin","","CAPSULE","ORAL","20051109","","ANDA","ANDA065271","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4305","AMOXICILLIN","Amoxicillin","57237003201","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-032","57237-032-01","57237-032_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","200","mg/5mL","","N","20251231"
"4306","AMOXICILLIN","Amoxicillin","57237003250","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-032","57237-032-50","57237-032_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","200","mg/5mL","","N","20251231"
"4307","AMOXICILLIN","Amoxicillin","57237003275","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-032","57237-032-75","57237-032_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","200","mg/5mL","","N","20251231"
"4308","AMOXICILLIN","Amoxicillin","57237003301","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-033","57237-033-01","57237-033_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","400","mg/5mL","","N","20251231"
"4309","AMOXICILLIN","Amoxicillin","57237003350","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-033","57237-033-50","57237-033_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","400","mg/5mL","","N","20251231"
"4310","AMOXICILLIN","Amoxicillin","57237003375","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-033","57237-033-75","57237-033_f3353b2f-e3e4-43a6-aec8-e0594af3da01","HUMAN PRESCRIPTION DRUG","Amoxicillin","","POWDER, FOR SUSPENSION","ORAL","20061228","","ANDA","ANDA065334","Rising Pharma Holdings, Inc.","400","mg/5mL","","N","20251231"
"4311","PENICILLIN V POTASSIUM","Penicillin V Potassium","57237004001","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-040","57237-040-01","57237-040_2334dad4-7145-499c-959b-bdd69a400ffb","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","Rising Health, LLC","250","mg/1","","N","20241231"
"4312","PENICILLIN V POTASSIUM","Penicillin V Potassium","57237004099","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-040","57237-040-99","57237-040_2334dad4-7145-499c-959b-bdd69a400ffb","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","Rising Health, LLC","250","mg/1","","N","20241231"
"4313","PENICILLIN V POTASSIUM","Penicillin V Potassium","57237004101","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-041","57237-041-01","57237-041_2334dad4-7145-499c-959b-bdd69a400ffb","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","Rising Health, LLC","500","mg/1","","N","20241231"
"4314","PENICILLIN V POTASSIUM","Penicillin V Potassium","57237004105","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-041","57237-041-05","57237-041_2334dad4-7145-499c-959b-bdd69a400ffb","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","Rising Health, LLC","500","mg/1","","N","20241231"
"4315","PENICILLIN V POTASSIUM","Penicillin V Potassium","57237004199","Penicillin-class Antibacterial [EPC], Penicillins [CS]","57237-041","57237-041-99","57237-041_2334dad4-7145-499c-959b-bdd69a400ffb","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","Rising Health, LLC","500","mg/1","","N","20241231"
"4316","CLARITHROMYCIN","Clarithromycin","57237004460","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","57237-044","57237-044-60","57237-044_ce30a7ce-c4f2-41b3-966d-c79fab80f76b","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET, FILM COATED","ORAL","20120725","","ANDA","ANDA065489","Rising Pharma Holdings, Inc.","250","mg/1","","N","20251231"
"4317","CLARITHROMYCIN","Clarithromycin","57237004560","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","57237-045","57237-045-60","57237-045_ce30a7ce-c4f2-41b3-966d-c79fab80f76b","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET, FILM COATED","ORAL","20120725","","ANDA","ANDA065489","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4318","CEFUROXIME AXETIL","Cefuroxime Axetil","57237005820","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-058","57237-058-20","57237-058_58871799-5e17-4b86-b8cd-4866c3f9ecf7","HUMAN PRESCRIPTION DRUG","Cefuroxime Axetil","","TABLET, FILM COATED","ORAL","20060329","","ANDA","ANDA065308","Rising Health, LLC","250","mg/1","","N","20241231"
"4319","CEFUROXIME AXETIL","Cefuroxime Axetil","57237005860","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-058","57237-058-60","57237-058_58871799-5e17-4b86-b8cd-4866c3f9ecf7","HUMAN PRESCRIPTION DRUG","Cefuroxime Axetil","","TABLET, FILM COATED","ORAL","20060329","","ANDA","ANDA065308","Rising Health, LLC","250","mg/1","","N","20241231"
"4320","CEFUROXIME AXETIL","Cefuroxime Axetil","57237005920","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-059","57237-059-20","57237-059_58871799-5e17-4b86-b8cd-4866c3f9ecf7","HUMAN PRESCRIPTION DRUG","Cefuroxime Axetil","","TABLET, FILM COATED","ORAL","20060329","","ANDA","ANDA065308","Rising Health, LLC","500","mg/1","","N","20241231"
"4321","CEFUROXIME AXETIL","Cefuroxime Axetil","57237005960","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-059","57237-059-60","57237-059_58871799-5e17-4b86-b8cd-4866c3f9ecf7","HUMAN PRESCRIPTION DRUG","Cefuroxime Axetil","","TABLET, FILM COATED","ORAL","20060329","","ANDA","ANDA065308","Rising Health, LLC","500","mg/1","","N","20241231"
"4322","CEFADROXIL","Cefadroxil","57237009601","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-096","57237-096-01","57237-096_15dc4c1d-6a9a-4c87-a037-e6fc34d84ad9","HUMAN PRESCRIPTION DRUG","Cefadroxil","","CAPSULE","ORAL","20070125","","ANDA","ANDA065352","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4323","CEFADROXIL","Cefadroxil","57237009650","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-096","57237-096-50","57237-096_15dc4c1d-6a9a-4c87-a037-e6fc34d84ad9","HUMAN PRESCRIPTION DRUG","Cefadroxil","","CAPSULE","ORAL","20070125","","ANDA","ANDA065352","Rising Pharma Holdings, Inc.","500","mg/1","","N","20251231"
"4324","CEFADROXIL","Cefadroxil","57237009701","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-097","57237-097-01","57237-097_59b4c983-458c-4363-b2e6-4253a2bc7992","HUMAN PRESCRIPTION DRUG","Cefadroxil","","POWDER, FOR SUSPENSION","ORAL","20130425","","ANDA","ANDA065349","Rising Pharma Holdings, Inc.","250","mg/5mL","","N","20251231"
"4325","CEFADROXIL","Cefadroxil","57237009750","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-097","57237-097-50","57237-097_59b4c983-458c-4363-b2e6-4253a2bc7992","HUMAN PRESCRIPTION DRUG","Cefadroxil","","POWDER, FOR SUSPENSION","ORAL","20130425","","ANDA","ANDA065349","Rising Pharma Holdings, Inc.","250","mg/5mL","","N","20251231"
"4326","CEFADROXIL","Cefadroxil","57237009801","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-098","57237-098-01","57237-098_59b4c983-458c-4363-b2e6-4253a2bc7992","HUMAN PRESCRIPTION DRUG","Cefadroxil","","POWDER, FOR SUSPENSION","ORAL","20130425","","ANDA","ANDA065349","Rising Pharma Holdings, Inc.","500","mg/5mL","","N","20251231"
"4327","CEFADROXIL","Cefadroxil","57237009875","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-098","57237-098-75","57237-098_59b4c983-458c-4363-b2e6-4253a2bc7992","HUMAN PRESCRIPTION DRUG","Cefadroxil","","POWDER, FOR SUSPENSION","ORAL","20130425","","ANDA","ANDA065349","Rising Pharma Holdings, Inc.","500","mg/5mL","","N","20251231"
"4328","CEFDINIR","Cefdinir","57237009960","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","57237-099","57237-099-60","57237-099_084623a7-ebe0-4468-9a4b-9fd016e96c3c","HUMAN PRESCRIPTION DRUG","Cefdinir","","CAPSULE","ORAL","20080107","","ANDA","ANDA065434","Rising Pharma Holdings, Inc.","300","mg/1","","N","20251231"
"4329","FLUCONAZOLE","Fluconazole","57237014935","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-149","57237-149-35","57237-149_5618eaba-18ee-4f9b-9b5a-b66d52353cfb","HUMAN PRESCRIPTION DRUG","Fluconazole","","POWDER, FOR SUSPENSION","ORAL","20090918","","ANDA","ANDA079150","Rising Pharma Holdings, Inc.","10","mg/mL","","N","20251231"
"4330","FLUCONAZOLE","Fluconazole","57237015035","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","57237-150","57237-150-35","57237-150_5618eaba-18ee-4f9b-9b5a-b66d52353cfb","HUMAN PRESCRIPTION DRUG","Fluconazole","","POWDER, FOR SUSPENSION","ORAL","20090918","","ANDA","ANDA079150","Rising Pharma Holdings, Inc.","40","mg/mL","","N","20251231"
"4331","MOXIFLOXACIN HYDROCHLORIDE","Moxifloxacin Hydrochloride","57237015630","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","57237-156","57237-156-30","57237-156_ed0b260d-9f5f-49a4-9841-c6fc397027a4","HUMAN PRESCRIPTION DRUG","Moxifloxacin Hydrochloride","","TABLET, FILM COATED","ORAL","20140304","","ANDA","ANDA202632","Rising Pharma Holdings, Inc.","400","mg/1","","N","20251231"
"4332","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","57237023201","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","57237-232","57237-232-01","57237-232_0c6cd0b3-4a26-4feb-8900-945f732b4c97","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100216","","ANDA","ANDA090624","Rising Health, LLC","400; 80","mg/1; mg/1","","N","20241231"
"4333","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","57237023205","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","57237-232","57237-232-05","57237-232_0c6cd0b3-4a26-4feb-8900-945f732b4c97","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100216","","ANDA","ANDA090624","Rising Health, LLC","400; 80","mg/1; mg/1","","N","20241231"
"4334","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","57237023301","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","57237-233","57237-233-01","57237-233_0c6cd0b3-4a26-4feb-8900-945f732b4c97","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100216","","ANDA","ANDA090624","Rising Health, LLC","800; 160","mg/1; mg/1","","N","20241231"
"4335","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","57237023305","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","57237-233","57237-233-05","57237-233_0c6cd0b3-4a26-4feb-8900-945f732b4c97","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100216","","ANDA","ANDA090624","Rising Health, LLC","800; 160","mg/1; mg/1","","N","20241231"
"4336","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","Bacitracin Zinc, Neomycin Sulfate, and Polymyxin B Sulfate","57243012001","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","57243-120","57243-120-01","57243-120_4a9f8454-d28e-49e3-b179-5fe244770ffb","HUMAN OTC DRUG","Triple Antibiotic","","OINTMENT","TOPICAL","20151215","","OTC MONOGRAPH FINAL","part333B","Salado Sales, Inc","400; 3.5; 5000","[iU]/g; mg/g; [iU]/g","","N","20241231"
"4337","NITROFURANTOIN","Nitrofurantion","57664023118","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-231","57664-231-18","57664-231_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","25","mg/1","","N","20241231"
"4338","NITROFURANTOIN","Nitrofurantion","57664023188","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-231","57664-231-88","57664-231_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","25","mg/1","","N","20241231"
"4339","NITROFURANTOIN","Nitrofurantion","57664023218","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-232","57664-232-18","57664-232_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","50","mg/1","","N","20241231"
"4340","NITROFURANTOIN","Nitrofurantion","57664023288","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-232","57664-232-88","57664-232_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","50","mg/1","","N","20241231"
"4341","NITROFURANTOIN","Nitrofurantion","57664023318","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-233","57664-233-18","57664-233_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","100","mg/1","","N","20241231"
"4342","NITROFURANTOIN","Nitrofurantion","57664023388","Nitrofuran Antibacterial [EPC], Nitrofurans [CS]","57664-233","57664-233-88","57664-233_163dd253-35bc-4eb8-8bfc-a3ec65c9da14","HUMAN PRESCRIPTION DRUG","Nitrofurantion","","CAPSULE","ORAL","20160415","","ANDA","ANDA201722","Sun Pharmaceutical Industries, Inc.","100","mg/1","","N","20241231"
"4343","LINEZOLID","linezolid","57664068230","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]","57664-682","57664-682-30","57664-682_aaefa755-b3ef-40d9-b05c-d5a5bda47c1a","HUMAN PRESCRIPTION DRUG","Linezolid","","INJECTION, SOLUTION","INTRAVENOUS","20170201","","ANDA","ANDA207354","Sun Pharmaceutical Industries, Inc.","200","mg/100mL","","N","20241231"
"4344","LINEZOLID","linezolid","57664068357","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]","57664-683","57664-683-57","57664-683_aaefa755-b3ef-40d9-b05c-d5a5bda47c1a","HUMAN PRESCRIPTION DRUG","Linezolid","","INJECTION, SOLUTION","INTRAVENOUS","20170201","","ANDA","ANDA207354","Sun Pharmaceutical Industries, Inc.","600","mg/300mL","","N","20241231"
"4345","HYDROXYCHLOROQUINE SULFATE","Hydroxychloroquine sulfate","57664076113","Antimalarial [EPC], Antirheumatic Agent [EPC]","57664-761","57664-761-13","57664-761_cb7adb60-886b-4415-9b04-b6d37712bbe0","HUMAN PRESCRIPTION DRUG","Hydroxychloroquine sulfate","","TABLET","ORAL","20180618","","ANDA","ANDA201691","Sun Pharmaceutical Industries, Inc.","200","mg/1","","N","20241231"
"4346","HYDROXYCHLOROQUINE SULFATE","Hydroxychloroquine sulfate","57664076188","Antimalarial [EPC], Antirheumatic Agent [EPC]","57664-761","57664-761-88","57664-761_cb7adb60-886b-4415-9b04-b6d37712bbe0","HUMAN PRESCRIPTION DRUG","Hydroxychloroquine sulfate","","TABLET","ORAL","20180618","","ANDA","ANDA201691","Sun Pharmaceutical Industries, Inc.","200","mg/1","","N","20241231"
"4347","AMPHOTERICIN B; DIMYRISTOYLPHOSPHATIDYLCHOLINE, DL-; DIMYRISTOYLPHOSPHATIDYLGLYCEROL, DL-","amphotericin b, dimyristoylphosphatidylcholine, dl- and dimyristoylphosphatidylglycerol, dl-","57665010141","Lipid-based Polyene Antifungal [EPC], Polyene Antifungal [EPC], Polyenes [CS]","57665-101","57665-101-41","57665-101_0aab355d-bbe3-5a46-e063-6294a90a971f","HUMAN PRESCRIPTION DRUG","ABELCET","","INJECTION","INTRAVENOUS","20101018","","NDA","NDA050724","Leadiant Biosciences, Inc.","5; 3.4; 1.5","mg/mL; mg/mL; mg/mL","","N","20241231"
"4348","AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN","omeprazole magnesium, amoxicillin and rifabutin","57841115002","Cytochrome P450 2C19 Inhibitors [MoA], Penicillin-class Antibacterial [EPC], Penicillins [CS], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA], Rifamycin Antimycobacterial [EPC], Rifamycins [CS]","57841-1150","57841-1150-2","57841-1150_23124460-5e8c-46a8-b2a7-9ee4f94b58ca","HUMAN PRESCRIPTION DRUG","Talicia","","CAPSULE, DELAYED RELEASE","ORAL","20200309","","NDA","NDA213004","RedHill Biopharma Ltd","250; 10; 12.5","mg/1; mg/1; mg/1","","N","20241231"
